jockey_code,jockey_name,"current_25_26_馬季
截至賽事日",current_國籍,current_所贏獎金,"current_過去10個賽馬日
獲勝次數",current_殿,current_總出賽次數,current_勝出率,previous_國籍,previous_所贏獎金,previous_季,previous_殿,previous_總出賽次數,previous_勝出率
PZ,潘頓,19/04/2026,澳洲 冠 : 100,"$ 184,161,745 亞 : 75",15 季 : 65,44,507,19.72%,澳洲 冠 : 138,"$ 213,311,025 亞 : 85",69,55,593,23.27%
BH,布文,19/04/2026,澳洲 冠 : 50,"$ 100,805,550 亞 : 59",10 季 : 30,45,418,11.96%,澳洲 冠 : 72,"$ 139,529,390 亞 : 71",56,79,594,12.12%
AA,艾兆禮,19/04/2026,意大利 冠 : 47,"$ 74,870,100 亞 : 34",11 季 : 39,28,439,10.71%,意大利 冠 : 58,"$ 95,254,025 亞 : 61",58,39,619,9.37%
CJE,周俊樂,19/04/2026,中國 冠 : 34,"$ 47,115,600 亞 : 33",5 季 : 25,40,362,9.39%,中國 冠 : 23,"$ 34,481,725 亞 : 25",17,34,373,6.17%
TEK,田泰安,19/04/2026,毛里求斯 冠 : 29,"$ 50,577,725 亞 : 31",4 季 : 35,48,449,6.46%,毛里求斯 冠 : 44,"$ 87,564,880 亞 : 54",66,68,634,6.94%
BHW,班德禮,19/04/2026,英國 冠 : 29,"$ 58,867,025 亞 : 22",8 季 : 29,29,346,8.38%,英國 冠 : 31,"$ 56,804,050 亞 : 36",36,38,462,6.71%
FEL,霍宏聲,19/04/2026,南非 冠 : 29,"$ 40,218,625 亞 : 22",3 季 : 27,34,339,8.55%,南非 冠 : 47,"$ 78,798,675 亞 : 34",41,36,481,9.77%
HCY,何澤堯,19/04/2026,中國 冠 : 28,"$ 50,050,335 亞 : 20",3 季 : 32,25,325,8.62%,中國 冠 : 27,"$ 42,179,915 亞 : 29",24,14,256,10.55%
OJM,奧爾民,19/04/2026,澳洲 冠 : 25,"$ 35,283,800 亞 : 24",3 季 : 32,18,334,7.49%,澳洲 冠 : 13,"$ 21,180,500 亞 : 20",14,21,236,5.51%
BA,巴度,19/04/2026,法國 冠 : 24,"$ 53,063,000 亞 : 30",6 季 : 35,35,345,6.96%,法國 冠 : 31,"$ 67,345,700 亞 : 51",34,54,519,5.97%
HEL,希威森,19/04/2026,南非 冠 : 23,"$ 37,664,250 亞 : 32",2 季 : 22,34,348,6.61%,南非 冠 : 29,"$ 52,595,475 亞 : 42",38,43,494,5.87%
PMF,潘明輝,19/04/2026,中國 冠 : 22,"$ 34,636,600 亞 : 25",1 季 : 27,26,357,6.16%,中國 冠 : 36,"$ 60,272,525 亞 : 38",56,44,560,6.43%
LDE,梁家俊,19/04/2026,中國 冠 : 20,"$ 47,764,175 亞 : 22",3 季 : 17,27,306,6.54%,中國 冠 : 36,"$ 57,231,450 亞 : 38",35,39,447,8.05%
CCY,鍾易禮,19/04/2026,中國 冠 : 19,"$ 25,573,800 亞 : 12",4 季 : 14,14,298,6.38%,中國 冠 : 20,"$ 35,629,825 亞 : 23",28,43,446,4.48%
WEC,黃智弘,19/04/2026,中國 冠 : 19,"$ 28,583,850 亞 : 17",0 季 : 16,11,235,8.09%,中國 冠 : 25,"$ 35,095,163 亞 : 23",28,22,300,8.33%
YML,楊明綸,19/04/2026,中國 冠 : 16,"$ 21,936,025 亞 : 14",1 季 : 18,14,341,4.69%,中國 冠 : 20,"$ 31,339,175 亞 : 25",27,31,434,4.61%
AVB,艾道拿,19/04/2026,澳洲 冠 : 15,"$ 38,604,725 亞 : 29",4 季 : 23,29,322,4.66%,澳洲 冠 : 47,"$ 97,447,125 亞 : 52",47,39,511,9.2%
KRW,金誠剛,19/04/2026,英國 冠 : 12,"$ 24,493,500 亞 : 31",4 季 : 19,17,338,3.55%,英國 冠 : 4,"$ 4,341,300 亞 : 2",4,2,42,9.52%
CML,蔡明紹,19/04/2026,中國 冠 : 11,"$ 25,832,650 亞 : 17",0 季 : 31,22,324,3.4%,中國 冠 : 35,"$ 63,578,738 亞 : 41",51,38,576,6.08%
WPN,黃寶妮,19/04/2026,中國 冠 : 9,"$ 10,995,250 亞 : 7",3 季 : 7,6,105,8.57%,中國 冠 : 18,"$ 17,930,900 亞 : 6",11,13,210,8.57%
