jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
OJM,奧爾民,Current,19/04/2026,沙田,624,5,14,草地,C+3,1800,2,好/快,非惟僥倖,6,91,姚本輝,P/TT,1205,126
OJM,奧爾民,Current,19/04/2026,沙田,622,4,12,草地,C+3,1400,3,好/快,臻至辰,2,67,蘇偉賢,B/TT,1074,123
OJM,奧爾民,Current,19/04/2026,沙田,621,4,9,,,1200,3,好,勁先生,9,75,賀賢,B,1133,125
OJM,奧爾民,Current,19/04/2026,沙田,619,3,14,,,1650,4,好,盛勢威楓,1,50,賀賢,B/XB,1085,125
OJM,奧爾民,Current,19/04/2026,沙田,618,3,14,草地,C+3,1600,4,好/快,瑞祺威楓,2,52,姚本輝,E-/TT1,1076,127
OJM,奧爾民,Current,19/04/2026,沙田,617,5,14,草地,C+3,1400,4,好/快,爽飆王子,9,52,賀賢,,1075,127
OJM,奧爾民,Current,19/04/2026,沙田,616,9,14,草地,C+3,1000,4,好/快,電子騰飛,10,52,蘇偉賢,TT,1033,127
OJM,奧爾民,Current,19/04/2026,沙田,615,8,12,,,1200,5,好,巴閉佬,12,36,呂健威,CP/XB,1173,132
OJM,奧爾民,Current,19/04/2026,沙田,614,12,14,,,1800,5,好,管之友,6,40,賀賢,CP,1163,135
OJM,奧爾民,Current,15/04/2026,跑馬地,612,8,11,草地,A,1650,3,好,膨才,10,76,蘇偉賢,CP,1101,135
OJM,奧爾民,Current,15/04/2026,跑馬地,611,8,12,草地,A,1200,4,好,縱橫天下,11,58,鄭俊偉,CP/TT,1069,133
OJM,奧爾民,Current,15/04/2026,跑馬地,610,7,10,草地,A,1200,4,好,金發盛世,1,58,桂福特,B,1092,133
OJM,奧爾民,Current,15/04/2026,跑馬地,609,9,11,草地,A,1650,3,好,蓮冠皇,4,68,廖康銘,CP,1023,124
OJM,奧爾民,Current,15/04/2026,跑馬地,607,9,12,草地,A,1650,4,好,極速滿貫,4,48,黎昭昇,,1060,123
OJM,奧爾民,Current,15/04/2026,跑馬地,606,10,12,草地,A,1650,5,好,問鼎巔峰,10,36,游達榮,B-/CP2,1004,133
OJM,奧爾民,Current,15/04/2026,跑馬地,605,5,12,草地,A,1000,5,好,鄉村樂韻,5,38,蔡約翰,E,1153,135
OJM,奧爾民,Current,12/04/2026,沙田,604,10,12,草地,C,1200,2,好,華麗再勝,11,95,沈集成,TT,1194,130
OJM,奧爾民,Current,12/04/2026,沙田,603,5,11,草地,C,1200,3,好,跨境寶馬,10,79,蔡約翰,B1/TT,1232,135
OJM,奧爾民,Current,12/04/2026,沙田,599,7,12,草地,C,1200,4,好,無比小子,2,52,徐雨石,H-,1168,127
OJM,奧爾民,Current,12/04/2026,沙田,598,10,12,草地,C,1200,4,好,威威神駒,3,52,韋達,CP,1063,127
OJM,奧爾民,Current,12/04/2026,沙田,597,2,14,草地,C,1400,4,好,醒目先駒,2,58,蘇偉賢,,1045,133
OJM,奧爾民,Current,12/04/2026,沙田,595,5,14,草地,C,1400,5,好,熊噹噹,13,32,蘇偉賢,V/TT,1245,127
OJM,奧爾民,Current,08/04/2026,跑馬地,592,6,12,草地,C+3,1200,3,好,電源之駒,3,67,廖康銘,,1069,126
OJM,奧爾民,Current,08/04/2026,跑馬地,589,3,12,草地,C+3,1200,4,好,三強,2,52,鄭俊偉,P,1149,127
OJM,奧爾民,Current,08/04/2026,跑馬地,588,9,12,草地,C+3,1650,4,好,頌星,3,48,賀賢,B,1053,124
OJM,奧爾民,Current,08/04/2026,跑馬地,587,3,12,草地,C+3,1000,4,好,巴閉王,6,58,呂健威,CP/XB,1016,133
OJM,奧爾民,Current,08/04/2026,跑馬地,586,11,12,草地,C+3,1650,4,好,金駿星,4,48,韋達,CP-/XB,1119,125
OJM,奧爾民,Current,08/04/2026,跑馬地,585,8,12,草地,C+3,1200,5,好,歷險大將,1,37,徐雨石,B2/TT,1059,129
OJM,奧爾民,Current,06/04/2026,沙田,582,6,14,草地,B+2,1600,G2,好,禪勝輝煌,1,106,呂健威,B/XB,1170,123
OJM,奧爾民,Current,06/04/2026,沙田,581,1,10,草地,B+2,1400,3,好,千帆駒,10,74,蘇偉賢,XB/TT,1136,132
OJM,奧爾民,Current,06/04/2026,沙田,579,9,12,草地,B+2,1000,3,好,藍地球,5,68,伍鵬志,B2/TT1,1110,125
OJM,奧爾民,Current,06/04/2026,沙田,578,14,14,草地,B+2,1200,4,好,賀龍飛翔,11,50,賀賢,B1,1155,126
OJM,奧爾民,Current,06/04/2026,沙田,575,12,14,草地,B+2,1200,5,好,萬里雲,12,40,賀賢,,1099,135
OJM,奧爾民,Current,06/04/2026,沙田,574,7,14,草地,B+2,1000,4,好,將傲,2,52,韋達,XB1,1084,127
OJM,奧爾民,Current,01/04/2026,沙田,572,8,10,,,1200,3,好,勁先生,2,76,賀賢,B,1136,126
OJM,奧爾民,Current,01/04/2026,沙田,571,10,12,,,1200,4,好,賢知友您,12,52,蘇偉賢,XB/P1/TT,1184,127
OJM,奧爾民,Current,01/04/2026,沙田,570,4,12,,,1200,4,好,快靚旺,9,55,方嘉柏,B-/H-/TT,1067,130
OJM,奧爾民,Current,01/04/2026,沙田,569,6,14,,,1800,4,好,森林之王,14,50,羅富全,B2,1101,126
OJM,奧爾民,Current,01/04/2026,沙田,567,8,14,,,1650,4,好,日日獎,7,49,方嘉柏,TT,1192,125
OJM,奧爾民,Current,01/04/2026,沙田,566,3,14,,,1650,5,好,朗日雪峰,9,32,方嘉柏,B/TT,1264,127
OJM,奧爾民,Current,01/04/2026,沙田,565,5,12,,,1200,5,好,巴閉佬,11,38,呂健威,CP/XB,1173,134
OJM,奧爾民,Current,29/03/2026,沙田,564,8,14,草地,A+3,1600,3,好/快,膨才,4,78,蘇偉賢,CP,1100,135
OJM,奧爾民,Current,29/03/2026,沙田,563,7,13,草地,A+3,1200,3,好/快,臻至辰,3,68,蘇偉賢,B1/TT,1073,125
OJM,奧爾民,Current,29/03/2026,沙田,562,9,10,草地,A+3,1200,2,好/快,時時歡欣,6,89,賀賢,,1307,126
OJM,奧爾民,Current,29/03/2026,沙田,560,10,14,草地,A+3,1200,4,好/快,笑盈喜,8,57,蘇偉賢,,1110,135
OJM,奧爾民,Current,29/03/2026,沙田,558,1,14,草地,A+3,1000,4,好/快,大愛無疆,13,60,廖康銘,CP-/B1,1104,135
OJM,奧爾民,Current,29/03/2026,沙田,555,4,14,草地,A+3,1400,4,好/快,森林之王,9,50,羅富全,,1115,127
OJM,奧爾民,Current,29/03/2026,沙田,554,7,14,草地,A+3,1400,5,好/快,常常感恩,4,32,蘇偉賢,V/TT,1110,127
OJM,奧爾民,Current,25/03/2026,跑馬地,553,11,12,草地,B,1200,3,好,精彩福星,11,71,大衛希斯,,1101,128
OJM,奧爾民,Current,25/03/2026,跑馬地,552,8,12,草地,B,1650,3,好,丞匡掠影,11,72,徐雨石,B,1242,129
OJM,奧爾民,Current,25/03/2026,跑馬地,551,2,12,草地,B,1200,4,好,星辰千帥,7,48,賀賢,B1/TT,1181,123
OJM,奧爾民,Current,25/03/2026,跑馬地,550,10,11,草地,B,1200,4,好,賢者福星,11,58,賀賢,TT,1088,133
OJM,奧爾民,Current,25/03/2026,跑馬地,549,3,11,草地,B,1000,3,好,燭光晚餐,1,78,徐雨石,H,1141,134
OJM,奧爾民,Current,25/03/2026,跑馬地,548,11,12,草地,B,1650,4,好,暴風之子,11,57,徐雨石,B,1133,134
OJM,奧爾民,Current,25/03/2026,跑馬地,547,2,12,草地,B,1200,4,好,星運少爵,4,53,方嘉柏,,1185,128
OJM,奧爾民,Current,25/03/2026,跑馬地,546,10,12,草地,B,1650,4,好,北海盜,9,48,賀賢,V-,1178,123
OJM,奧爾民,Current,25/03/2026,跑馬地,545,11,12,草地,B,2200,5,好,皇金風速,6,28,蘇偉賢,,1049,123
OJM,奧爾民,Current,22/03/2026,沙田,541,6,14,草地,A,2000,4YO,好/快,幸運派彩,9,76,徐雨石,TT,1148,126
OJM,奧爾民,Current,22/03/2026,沙田,540,2,10,草地,A,1200,3,好/快,巴基之勝,5,80,蘇偉賢,V/TT,1185,135
OJM,奧爾民,Current,22/03/2026,沙田,539,7,14,草地,A,1400,4,好/快,帝豪先鋒,5,52,游達榮,,1268,127
OJM,奧爾民,Current,22/03/2026,沙田,538,11,14,草地,A,1200,4,好/快,傳承精神,6,52,姚本輝,TT,1144,127
OJM,奧爾民,Current,22/03/2026,沙田,536,3,13,草地,A,1200,4,好/快,櫻花酒杯,2,60,呂健威,TT,1174,135
OJM,奧爾民,Current,18/03/2026,跑馬地,534,12,12,草地,A,1650,3,好/快,飛輪步,8,68,鄭俊偉,CP/TT,1193,124
OJM,奧爾民,Current,18/03/2026,跑馬地,533,4,12,草地,A,1200,3,好/快,電源之駒,7,69,廖康銘,,1094,125
OJM,奧爾民,Current,18/03/2026,跑馬地,531,4,12,草地,A,1800,4,好/快,愛心波,6,49,賀賢,XB,1025,125
OJM,奧爾民,Current,18/03/2026,跑馬地,529,3,12,草地,A,1200,4,好/快,三強,8,53,鄭俊偉,P,1149,128
OJM,奧爾民,Current,18/03/2026,跑馬地,527,10,12,草地,A,1650,4,好/快,顏色的顏,11,58,韋達,B-/SR1/CP2,1144,133
OJM,奧爾民,Current,18/03/2026,跑馬地,526,1,12,草地,A,1650,5,好/快,神駒馬靈,2,32,廖康銘,H-/P-/TT-,1118,128
